Symbol
ABBOTINDIA
ACC
ADANIENT
ADANIGREEN
ADANIPORTS
ADANIPOWER
ALKEM
AMBUJACEM
APOLLOHOSP
APOLLOTYRE
ASHOKLEY
ASIANPAINT
ASTRAL
ATUL
AUBANK
AUROPHARMA
AXISBANK
BAJAJ-AUTO
BAJAJFINSV
BAJFINANCE
BALKRISIND
BANDHANBNK
BANKBARODA
BATAINDIA
BEL
BERGEPAINT
BHARATFORG
BHARTIARTL
BHEL
BIOCON
BOSCHLTD
BPCL
BRITANNIA
BSOFT
CADILAHC
CANBK
CANFINHOME
CHOLAFIN
CIPLA
COALINDIA
COFORGE
COLPAL
CONCOR
COROMANDEL
CROMPTON
CUB
CUMMINSIND
DABUR
DALBHARAT
DEEPAKNTR
DELTACORP
DIVISLAB
DIXON
DLF
DRREDDY
EICHERMOT
ESCORTS
EXIDEIND
FEDERALBNK
FSL
GAIL
GLAND
GMRINFRA
GNFC
GODREJCP
GODREJPROP
GRANULES
GRASIM
GUJGASLTD
HAL
HAVELLS
HCLTECH
HDFCAMC
HDFCBANK
HDFCLIFE
HEROMOTOCO
HINDALCO
HINDPETRO
HINDUNILVR
ICICIBANK
ICICIGI
ICICIPRULI
IDEA
IDFCFIRSTB
IEX
IGL
INDHOTEL
INDIAMART
INDIGO
INDUSINDBK
INDUSTOWER
INFY
IOC
IRCTC
ITC
JINDALSTEL
JKCEMENT
JSWSTEEL
JUBLFOOD
KOTAKBANK
LALPATHLAB
LICHSGFIN
LT
LTI
LTTS
LUPIN
M&M
M&MFIN
MANAPPURAM
MARICO
MARUTI
MINDTREE
MOTHERSON
MPHASIS
MRF
MUTHOOTFIN
NAM-INDIA
NATIONALUM
NAUKRI
NAVINFLUOR
NESTLEIND
NHPC
NMDC
NTPC
OBEROIRLTY
OFSS
ONGC
PAGEIND
PEL
PETRONET
PFIZER
PIDILITIND
PIIND
PNB
POLYCAB
POWERGRID
PVR
RAMCOCEM
RBLBANK
RECLTD
RELAXO
RELIANCE
SAIL
SBICARD
SBILIFE
SBIN
SHREECEM
SIEMENS
SRF
SRTRANSFIN
SUNPHARMA
SUNTV
SYNGENE
TATACHEM
TATACONSUM
TATAMOTORS
TATAPOWER
TATASTEEL
TCS
TECHM
TITAN
TORNTPHARM
TORNTPOWER
TRENT
TVSMOTOR
UBL
ULTRACEMCO
UNIONBANK
UPL
VOLTAS
WHIRLPOOL
WIPRO
ZEEL
ZYDUSLIFE
